2025-03-13 01:36:00 - DEBUG - Using selector: EpollSelector
2025-03-13 01:36:00 - INFO - Processing item 0...
2025-03-13 01:36:00 - INFO - Processing item 1...
2025-03-13 01:36:00 - INFO - Processing item 2...
2025-03-13 01:36:00 - INFO - Processing item 3...
2025-03-13 01:36:00 - INFO - Processing item 4...
2025-03-13 01:36:00 - INFO - Processing item 5...
2025-03-13 01:36:00 - INFO - Processing item 6...
2025-03-13 01:36:00 - INFO - Processing item 7...
2025-03-13 01:36:00 - INFO - Processing item 8...
2025-03-13 01:36:00 - INFO - Processing item 9...
2025-03-13 01:36:00 - INFO - Processing item 10...
2025-03-13 01:36:00 - INFO - Processing item 11...
2025-03-13 01:36:00 - INFO - Processing item 12...
2025-03-13 01:36:00 - INFO - Processing item 13...
2025-03-13 01:36:00 - INFO - Processing item 14...
2025-03-13 01:36:00 - INFO - Processing item 15...
2025-03-13 01:36:00 - INFO - Processing item 16...
2025-03-13 01:36:00 - INFO - Processing item 17...
2025-03-13 01:36:00 - INFO - Processing item 18...
2025-03-13 01:36:00 - INFO - Processing item 19...
2025-03-13 01:36:00 - INFO - Processing item 20...
2025-03-13 01:36:00 - INFO - Processing item 21...
2025-03-13 01:36:00 - INFO - Processing item 22...
2025-03-13 01:36:00 - INFO - Processing item 23...
2025-03-13 01:36:00 - INFO - Processing item 24...
2025-03-13 01:36:00 - INFO - Processing item 25...
2025-03-13 01:36:00 - INFO - Processing item 26...
2025-03-13 01:36:00 - INFO - Processing item 27...
2025-03-13 01:36:00 - INFO - Processing item 28...
2025-03-13 01:36:00 - INFO - Processing item 29...
2025-03-13 01:36:00 - INFO - Processing item 30...
2025-03-13 01:36:00 - INFO - Processing item 31...
2025-03-13 01:36:00 - INFO - Processing item 32...
2025-03-13 01:36:00 - INFO - Processing item 33...
2025-03-13 01:36:00 - INFO - Processing item 34...
2025-03-13 01:36:00 - INFO - Processing item 35...
2025-03-13 01:36:00 - INFO - Processing item 36...
2025-03-13 01:36:00 - INFO - Processing item 37...
2025-03-13 01:36:00 - INFO - Processing item 38...
2025-03-13 01:36:00 - INFO - Processing item 39...
2025-03-13 01:36:00 - INFO - Processing item 40...
2025-03-13 01:36:00 - INFO - Processing item 41...
2025-03-13 01:36:00 - INFO - Processing item 42...
2025-03-13 01:36:00 - INFO - Processing item 43...
2025-03-13 01:36:00 - INFO - Processing item 44...
2025-03-13 01:36:00 - INFO - Processing item 45...
2025-03-13 01:36:00 - INFO - Processing item 46...
2025-03-13 01:36:00 - INFO - Processing item 47...
2025-03-13 01:36:00 - INFO - Processing item 48...
2025-03-13 01:36:00 - INFO - Processing item 49...
